customer_id,first_name,last_name,email,phone,signup_date,country,state,postal_code,is_active,loyalty_points
1024,Chloe,Lee,user1@example.com,8386379402,2024-12-15,USA,WA,77298,Yes,159
1025,James,Baker,user2@example.com,5116155940,2025-01-17,USA,WA,90142,TRUE,996
1026,Ella,Garcia,user3@example.com,8495931034,2023-03-23,USA,CA,61619,No,284
1027,Leo,Scott,user4@example.com,5255341928,2025-01-16,USA,CA,65708,No,388
1028,Mia,Scott,user5@example.com,8350305641,2023-08-05,USA,FL,75622,FALSE,671
1029,Jack,Clark,user6@example.com,7242388496,2024-08-20,USA,WA,78723,FALSE,141
1030,Amelia,Hall,user7@example.com,1012269166,2024-09-02,USA,WA,89676,Yes,994
1031,Sofia,Adams,user8@example.com,0184514627,2023-01-04,USA,TX,87806,FALSE,519
1032,Emma,Adams,user9@example.com,4893252880,2024-09-05,USA,TX,87021,TRUE,114
1033,Henry,Adams,user10@example.com,4303911718,2025-02-23,USA,CA,63414,0,486
1034,Sofia,Martinez,user11@example.com,4896383465,2024-03-24,USA,FL,84588,TRUE,253
1035,Lucas,Garcia,user12@example.com,5098393010,2023-08-23,USA,MN,57058,Yes,72
1036,Amelia,Wilson,user13@example.com,4738299737,2025-04-06,USA,WA,67478,TRUE,99
1037,Grace,Thomas,user14@example.com,6670106513,2023-07-16,USA,CA,90146,No,143
1038,Grace,Martinez,user15@example.com,4731781080,2023-04-06,USA,CA,65899,No,497
1039,Jack,Wilson,user16@example.com,6026064746,2024-12-14,USA,FL,86894,FALSE,194
1040,Ethan,Wilson,user17@example.com,0980500978,2025-05-23,USA,FL,65317,TRUE,983
1041,Amelia,Garcia,user18@example.com,2191361939,2024-08-31,USA,MN,95591,TRUE,429
1042,Mason,King,user19@example.com,8543534624,2024-04-13,USA,TX,59754,TRUE,469
1043,Chloe,King,user20@example.com,1183842513,2024-01-14,USA,TX,65338,No,853
1044,Sofia,Green,user21@example.com,4980841241,2023-04-20,USA,FL,65187,Yes,288
1045,Chloe,Wilson,user22@example.com,5348740164,2023-02-15,USA,MN,76859,FALSE,652
1046,Mia,Martinez,user23@example.com,7868011280,2025-05-04,USA,TX,93175,1,151
1047,Grace,Martinez,user24@example.com,0450533158,2025-06-14,USA,WA,95675,0,158
1048,Lucas,Adams,user25@example.com,2260256342,2025-03-17,USA,MN,80070,TRUE,879
1049,Jack,Wilson,user26@example.com,3754330365,2023-10-13,USA,MN,73292,Yes,656
1050,Amelia,Clark,user27@example.com,8501429401,2024-09-02,USA,WA,77654,0,805
1051,Harper,Clark,user28@example.com,9816934060,2024-06-16,USA,FL,67912,Yes,441
1052,Noah,Scott,user29@example.com,5951484656,2024-12-14,USA,TX,91333,FALSE,196
1053,Grace,Scott,user30@example.com,6299468044,2023-08-04,USA,WA,93009,1,670
1054,Harper,Hall,user31@example.com,7738721489,2023-12-10,USA,MN,70392,0,317
1055,Lucas,Baker,user32@example.com,3200379176,2024-10-06,USA,FL,67742,0,713
1056,Ella,Hall,user33@example.com,6320163287,2023-02-21,USA,FL,71331,TRUE,467
1057,Ava,Baker,user34@example.com,7889579868,2024-04-01,USA,CA,86108,No,265
1058,Lucas,Adams,user35@example.com,4873471434,2023-12-10,USA,TX,90399,TRUE,141
1059,Ava,Wilson,user36@example.com,6231665876,2023-03-05,USA,CA,82534,No,926
1060,Mason,Green,user37@example.com,0967054668,2025-02-04,USA,FL,94534,FALSE,499
1061,Lucas,Anderson,user38@example.com,6706562729,2024-06-30,USA,MN,80822,1,577
1062,Liam,Garcia,user39@example.com,6272046537,2023-12-01,USA,TX,79846,Yes,770
1063,Grace,Anderson,user40@example.com,1708053100,2023-09-11,USA,CA,56335,1,156
1064,Lucas,Martinez,user41@example.com,7193745299,2025-02-04,USA,MN,65732,Yes,110
1065,Mason,Lee,user42@example.com,4966319314,2025-05-20,USA,FL,62933,1,801
1066,Olivia,Thomas,user43@example.com,8651850671,2024-03-19,USA,TX,85129,0,156
1067,Grace,Martinez,user44@example.com,8498776945,2025-05-22,USA,CA,60679,Yes,902
1068,Leo,Wilson,user45@example.com,7996507527,2023-08-06,USA,TX,71931,Yes,286
1069,Chloe,Green,user46@example.com,4808313678,2025-02-15,USA,CA,86201,0,728
1070,Jack,Hall,user47@example.com,0143634957,2024-07-20,USA,FL,77528,No,763
1071,Sofia,Thomas,user48@example.com,5744431351,2025-01-30,USA,FL,67133,FALSE,221
1072,Jack,Anderson,user49@example.com,9894134352,2023-11-06,USA,MN,90005,FALSE,280
1073,Olivia,Lee,user50@example.com,8427109477,2024-03-27,USA,TX,67082,TRUE,258
1074,Jack,Garcia,user51@example.com,1671902294,2023-03-29,USA,CA,62762,1,782
1075,Grace,King,user52@example.com,9938677496,2023-11-09,USA,FL,95699,TRUE,624
1076,Emma,Baker,user53@example.com,3341232812,2023-01-03,USA,WA,84524,0,608
1077,Jack,Anderson,user54@example.com,0344713493,2024-03-11,USA,MN,90688,FALSE,663
1078,Ava,Anderson,user55@example.com,2102499471,2024-04-24,USA,TX,81378,Yes,512
1079,Sofia,Hall,user56@example.com,7190659401,2023-08-23,USA,FL,93477,TRUE,783
1080,Mia,King,user57@example.com,0278742967,2023-04-04,USA,WA,77803,No,341
1081,Harper,Scott,user58@example.com,1256746807,2023-04-01,USA,TX,71541,Yes,118
1082,Ella,Adams,user59@example.com,8087603859,2025-02-13,USA,WA,95986,No,778
1083,Olivia,Wilson,user60@example.com,4824771093,2024-12-27,USA,CA,75365,1,14
1084,Sofia,Clark,user61@example.com,1317127484,2024-03-01,USA,WA,85947,FALSE,467
1085,Sofia,Martinez,user62@example.com,6398214658,2023-10-01,USA,MN,73536,0,305
1086,Mason,King,user63@example.com,7278755886,2024-04-11,USA,TX,67363,0,244
1087,Mason,Clark,user64@example.com,3605766270,2023-05-10,USA,FL,93678,Yes,890
1088,Emma,Adams,user65@example.com,7187026217,2025-03-11,USA,TX,77187,1,709
1089,Ella,Scott,user66@example.com,1586578091,2023-08-29,USA,TX,69908,0,92
1090,Grace,Garcia,user67@example.com,1724005045,2024-01-19,USA,WA,64540,FALSE,543
1091,Grace,King,user68@example.com,2221969379,2023-05-27,USA,CA,85221,0,260
1092,Leo,Anderson,user69@example.com,0748217594,2024-10-16,USA,WA,71390,No,865
1093,Ethan,Wilson,user70@example.com,6713695944,2023-01-23,USA,WA,72988,TRUE,579
1094,Olivia,King,user71@example.com,7439533942,2024-10-05,USA,MN,57583,Yes,807
1095,Leo,Lee,user72@example.com,9521456232,2025-03-16,USA,FL,78976,1,513
1096,Mia,Adams,user73@example.com,2474517123,2025-05-30,USA,WA,91524,Yes,92
1097,Ella,Lee,user74@example.com,4817549651,2024-11-22,USA,CA,85898,TRUE,634
1098,Sofia,Thomas,user75@example.com,9317461200,2023-11-08,USA,WA,62610,TRUE,240
1099,Sofia,Martinez,user76@example.com,6758692617,2024-09-22,USA,WA,73333,TRUE,706
1100,Henry,Wilson,user77@example.com,7735158506,2023-10-10,USA,CA,63005,No,93
